Sample_ID,Nest_ID,Site_Number,Sdag_C293,Sol_55,Sol_6,C147,i_130,i_120_PigTail,C368_PigTail,C334,C121_PigTail,C485,C259,C294,i_113,Sol_J1,Jackstraw_PigTail,i_109,C216_pigtail
ARG05_3h,ARG05_3,1,243,177,95,73,275,312,209,199,161,114,225,98,165,284,113,156,209
ARG05_3h,ARG05_3,1,243,177,95,73,275,314,209,199,161,114,225,98,165,284,113,156,225
ARG05_3i,ARG05_3,1,243,177,95,73,275,312,209,199,161,114,225,98,165,284,113,156,209
ARG05_3i,ARG05_3,1,243,177,95,73,275,312,209,199,161,114,225,98,165,284,113,156,225
ARG05_3j,ARG05_3,1,243,177,93,73,275,314,205,199,161,114,225,98,165,284,113,154,209
ARG05_3j,ARG05_3,1,243,177,95,73,275,314,209,199,161,114,225,98,165,284,113,156,219
ARG05_3K,ARG05_3,1,243,177,93,73,275,312,205,199,161,114,223,98,165,284,113,154,225
ARG05_3K,ARG05_3,1,243,177,95,73,275,314,209,199,161,114,225,98,165,284,113,156,225
ARG05_3L,ARG05_3,1,243,177,95,73,275,312,205,199,161,114,225,98,165,284,113,156,219
ARG05_3L,ARG05_3,1,243,177,95,73,275,314,209,199,161,114,225,98,165,284,113,156,225
ARG05_3male,ARG05_3,1,NA,177,95,73,275,312,209,199,161,114,227,98,165,284,113,154,225
ARG05_3male,ARG05_3,1,NA,177,95,73,275,312,209,199,161,114,227,98,165,284,113,154,225
ARG05_4a,ARG05_4,1,243,177,95,73,275,314,207,199,161,114,226,98,165,284,113,156,209
ARG05_4a,ARG05_4,1,243,177,96,76,275,320,207,199,163,114,226,98,165,286,115,156,225
ARG05_4c,ARG05_4,1,243,177,84,73,275,314,205,199,161,114,223,98,165,284,113,156,209
ARG05_4c,ARG05_4,1,243,177,95,73,275,320,207,199,161,114,223,98,165,286,113,156,209
ARG05_4d,ARG05_4,1,243,177,95,73,275,314,205,199,161,114,223,98,165,284,113,154,209
ARG05_4d,ARG05_4,1,243,177,96,73,275,314,207,199,161,114,226,98,165,284,115,156,225
ARG05_4e,ARG05_4,1,243,177,84,73,275,314,207,199,161,114,223,98,165,284,113,156,209
ARG05_4e,ARG05_4,1,243,177,95,73,275,314,207,199,163,114,223,98,165,284,113,156,219
ARG05_4f,ARG05_4,1,243,177,84,73,275,314,205,199,161,114,223,98,165,284,113,156,209
ARG05_4f,ARG05_4,1,243,177,95,73,275,320,207,199,161,114,223,98,165,284,113,156,209
ARG05_4g,ARG05_4,1,243,177,95,73,275,314,205,199,161,114,226,98,165,284,113,154,225
ARG05_4g,ARG05_4,1,243,177,96,76,275,320,207,199,163,114,226,98,165,286,115,156,227
ARG05_4h,ARG05_4,1,243,177,95,73,275,314,207,199,161,114,223,98,165,284,113,154,209
ARG05_4h,ARG05_4,1,243,177,96,76,275,320,207,199,161,114,226,98,167,284,115,156,225
ARG05_4i,ARG05_4,1,243,177,95,73,275,314,205,199,161,114,226,98,165,284,113,156,209
ARG05_4i,ARG05_4,1,243,177,96,73,275,320,207,199,161,114,226,98,165,286,115,156,225
ARG05_4j,ARG05_4,1,243,177,84,73,275,314,205,199,161,114,223,98,165,284,113,156,209
ARG05_4j,ARG05_4,1,243,177,95,73,275,314,207,199,161,114,223,98,165,284,113,156,219
ARG05_4k,ARG05_4,1,243,177,84,73,275,314,207,199,161,114,223,98,165,284,113,154,209
ARG05_4k,ARG05_4,1,243,177,95,76,275,314,207,199,161,114,226,98,165,284,115,156,225
ARG05_4male,ARG05_4,1,NA,177,84,73,275,NA,NA,199,NA,114,223,98,165,284,NA,156,NA
ARG05_4male,ARG05_4,1,NA,177,84,73,275,NA,NA,199,NA,114,223,98,165,284,NA,156,NA
ARG05_5a,ARG05_5,1,243,177,84,73,275,314,202,199,161,114,223,98,165,284,113,156,209
ARG05_5a,ARG05_5,1,243,177,95,73,275,320,207,199,163,114,223,98,165,284,113,156,219
ARG05_5c,ARG05_5,1,243,177,84,73,275,314,207,199,161,114,223,98,165,284,113,154,209
ARG05_5c,ARG05_5,1,243,177,95,73,275,320,207,199,163,114,226,98,167,284,113,156,219
ARG05_5d,ARG05_5,1,243,177,95,73,275,314,205,199,161,114,223,98,167,284,113,154,209
ARG05_5d,ARG05_5,1,243,177,95,73,275,320,207,199,161,114,223,98,167,286,113,156,219
ARG05_5e,ARG05_5,1,243,177,84,73,275,314,205,199,161,114,223,98,165,284,113,154,209
ARG05_5e,ARG05_5,1,243,177,95,73,275,320,207,201,163,114,223,98,165,284,115,156,219
ARG05_5f,ARG05_5,1,243,177,NA,73,275,314,205,199,161,114,NA,98,165,284,113,156,209
ARG05_5f,ARG05_5,1,243,177,NA,76,275,320,207,199,161,114,NA,98,165,284,115,156,225
ARG05_5g,ARG05_5,1,243,177,95,73,275,314,207,199,161,114,226,98,165,284,113,154,219
ARG05_5g,ARG05_5,1,243,177,96,76,275,314,207,199,163,114,226,98,165,284,115,156,227
ARG05_5h,ARG05_5,1,243,177,84,73,275,314,205,199,161,114,223,98,165,284,113,154,209
ARG05_5h,ARG05_5,1,243,177,95,73,275,320,207,201,161,114,223,98,165,286,115,156,209
ARG05_5i,ARG05_5,1,243,177,95,73,275,320,205,199,161,114,223,98,165,284,113,154,209
ARG05_5i,ARG05_5,1,243,177,95,73,275,320,207,199,163,114,226,98,167,286,113,156,227
ARG05_5k,ARG05_5,1,243,177,95,73,275,320,205,199,161,114,226,98,165,284,113,156,209
ARG05_5k,ARG05_5,1,243,177,95,73,275,320,205,199,161,114,226,98,167,284,113,156,219
ARG05_5male,ARG05_5,1,NA,177,95,73,275,320,202,199,161,114,223,98,165,286,113,154,219
ARG05_5male,ARG05_5,1,NA,177,95,73,275,320,202,199,161,114,223,98,165,286,113,154,219
ARG05_6a,ARG05_6,1,243,177,95,73,275,312,202,199,161,114,226,98,161,250,115,154,219
ARG05_6a,ARG05_6,1,243,177,95,73,275,312,202,199,161,114,226,98,161,284,115,154,225
ARG05_6c,ARG05_6,1,243,177,95,73,275,312,205,199,161,114,226,98,161,284,115,154,219
ARG05_6c,ARG05_6,1,243,177,95,76,275,314,205,199,161,114,226,98,165,284,115,154,225
ARG05_6d,ARG05_6,1,243,NA,95,73,275,312,205,199,161,114,226,98,161,250,115,154,219
ARG05_6d,ARG05_6,1,243,NA,95,76,275,312,205,199,161,114,226,98,161,284,115,154,219
ARG05_6e,ARG05_6,1,243,177,95,73,275,312,205,199,161,114,226,98,161,250,115,154,219
ARG05_6e,ARG05_6,1,243,177,95,73,275,314,205,199,161,114,226,98,165,284,115,154,219
ARG05_6f,ARG05_6,1,243,177,95,73,275,314,205,199,161,114,226,98,161,284,115,154,219
ARG05_6f,ARG05_6,1,243,177,95,76,275,314,205,199,161,114,226,98,165,284,115,154,225
ARG05_6g,ARG05_6,1,243,177,95,73,275,312,205,199,161,114,226,98,161,284,115,154,219
ARG05_6g,ARG05_6,1,243,177,95,73,275,314,205,199,161,114,226,98,165,284,115,154,225
ARG05_6h,ARG05_6,1,243,177,95,73,275,314,205,199,161,114,226,98,161,284,115,154,219
ARG05_6h,ARG05_6,1,243,177,95,73,275,314,205,199,161,114,226,98,161,284,115,154,219
ARG05_6i,ARG05_6,1,243,177,95,73,275,312,205,199,161,114,226,98,161,284,115,154,219
ARG05_6i,ARG05_6,1,243,177,95,76,275,314,205,199,161,114,226,98,165,284,115,154,225
ARG05_6j,ARG05_6,1,243,177,95,73,275,314,205,199,161,114,226,98,161,250,115,154,219
ARG05_6j,ARG05_6,1,243,177,95,76,275,314,205,199,161,114,226,98,165,284,115,154,225
ARG05_6k,ARG05_6,1,243,177,95,73,275,312,205,199,161,114,226,98,161,284,115,154,219
ARG05_6k,ARG05_6,1,243,177,95,76,275,314,205,199,161,114,226,98,165,284,115,154,225
ARG05_6male,ARG05_6,1,NA,177,95,76,275,314,202,199,161,114,227,98,165,284,115,154,219
ARG05_6male,ARG05_6,1,NA,177,95,76,275,314,202,199,161,114,227,98,165,284,115,154,219
ARG05_7a,ARG05_7,1,241,177,95,73,275,320,207,199,161,114,223,98,167,284,113,154,219
ARG05_7a,ARG05_7,1,243,177,95,73,275,320,207,199,163,114,226,98,167,286,113,156,227
ARG05_7c,ARG05_7,1,243,177,95,73,275,314,207,199,161,114,217,98,165,284,113,154,223
ARG05_7c,ARG05_7,1,247,177,95,73,275,320,207,199,161,114,223,98,167,284,113,154,227
ARG05_7d,ARG05_7,1,241,177,95,73,275,314,207,199,161,114,223,98,165,284,113,154,209
ARG05_7d,ARG05_7,1,243,177,95,73,275,320,207,199,163,114,226,98,165,286,113,156,209
ARG05_7e,ARG05_7,1,243,177,95,73,275,314,207,199,161,114,217,98,165,284,113,154,209
ARG05_7e,ARG05_7,1,247,177,95,73,275,320,207,199,161,114,223,98,167,284,113,156,209
ARG05_7f,ARG05_7,1,241,177,95,73,275,320,207,199,161,114,223,98,167,284,113,154,219
ARG05_7f,ARG05_7,1,243,177,95,73,275,320,207,199,163,114,226,98,167,286,113,154,227
ARG05_7g,ARG05_7,1,241,177,95,73,275,320,207,199,161,114,223,98,167,284,113,154,219
ARG05_7g,ARG05_7,1,243,177,95,73,275,320,207,199,161,114,226,98,167,286,113,156,227
ARG05_7h,ARG05_7,1,243,177,95,73,275,320,207,199,161,114,223,98,165,284,113,154,219
ARG05_7h,ARG05_7,1,243,177,95,73,275,320,207,199,163,114,226,98,167,284,113,154,227
ARG05_7i,ARG05_7,1,241,177,95,73,275,320,207,199,161,114,223,98,167,284,113,154,219
ARG05_7i,ARG05_7,1,243,177,95,73,275,320,207,199,161,114,226,98,167,286,113,156,227
ARG05_7k,ARG05_7,1,247,177,95,73,275,314,207,199,161,114,217,98,165,284,113,154,209
ARG05_7k,ARG05_7,1,247,177,95,73,275,314,207,199,161,114,225,98,165,284,113,154,223
ARG05_7male,ARG05_7,1,NA,177,95,73,275,314,207,199,161,114,225,98,165,284,113,154,209
ARG05_7male,ARG05_7,1,NA,177,95,73,275,314,207,199,161,114,225,98,165,284,113,154,209
ARG05_8a,ARG05_8,1,243,177,95,73,275,312,207,199,161,114,225,98,165,286,113,154,209
ARG05_8a,ARG05_8,1,243,177,95,73,279,314,207,199,161,114,225,98,165,286,113,156,227
ARG05_8c,ARG05_8,1,243,177,95,73,279,314,207,199,161,114,225,98,165,286,113,156,209
ARG05_8c,ARG05_8,1,243,177,95,73,279,314,207,199,161,114,225,98,165,286,113,156,227
ARG05_8d,ARG05_8,1,243,177,95,73,279,314,207,199,161,114,225,98,165,286,113,156,209
ARG05_8d,ARG05_8,1,243,177,95,73,279,314,207,199,161,114,225,98,165,286,113,156,209
ARG05_8e,ARG05_8,1,243,177,95,73,279,314,207,199,161,114,225,98,165,286,113,156,209
ARG05_8e,ARG05_8,1,243,177,95,73,279,314,207,199,161,114,225,98,165,286,113,156,227
ARG05_8f,ARG05_8,1,243,177,95,73,275,312,207,199,161,114,225,98,165,286,113,154,217
ARG05_8f,ARG05_8,1,243,177,95,73,279,314,207,199,161,114,225,98,165,286,113,156,227
ARG05_8g,ARG05_8,1,243,177,95,73,279,314,207,199,161,114,225,98,165,286,113,156,209
ARG05_8g,ARG05_8,1,243,177,95,73,279,314,207,199,161,114,225,98,165,286,113,156,209
ARG05_8h,ARG05_8,1,243,177,95,73,275,312,207,199,161,114,225,98,165,284,113,154,227
ARG05_8h,ARG05_8,1,243,177,95,73,275,312,207,199,161,114,225,98,165,286,113,154,227
ARG05_8i,ARG05_8,1,243,177,95,73,275,312,207,199,161,114,225,98,165,286,113,154,227
ARG05_8i,ARG05_8,1,243,177,95,73,275,312,207,199,161,114,225,98,165,286,113,154,227
ARG05_8j,ARG05_8,1,243,177,95,73,275,314,205,199,161,114,226,98,165,284,113,156,209
ARG05_8j,ARG05_8,1,243,177,95,73,275,320,207,199,163,114,226,98,165,286,113,156,219
ARG05_8k,ARG05_8,1,243,177,95,73,279,314,207,199,161,114,225,98,165,286,113,156,209
ARG05_8k,ARG05_8,1,243,177,95,73,279,314,207,199,161,114,225,98,165,286,113,156,209
ARG05_8male,ARG05_8,1,NA,177,95,73,275,320,202,199,163,114,227,98,167,284,113,156,227
ARG05_8male,ARG05_8,1,NA,177,95,73,275,320,202,199,163,114,227,98,167,284,113,156,227
ARG05_9a,ARG05_9,1,243,177,84,73,275,312,205,199,161,114,225,98,165,284,113,154,209
ARG05_9a,ARG05_9,1,243,177,95,73,275,314,207,199,161,114,225,98,165,284,113,154,225
ARG05_9c,ARG05_9,1,243,177,84,73,275,314,205,199,161,114,223,98,165,284,113,156,209
ARG05_9c,ARG05_9,1,243,177,95,73,275,314,207,199,161,114,225,98,165,284,113,156,225
ARG05_9d,ARG05_9,1,243,177,84,73,275,314,205,199,161,114,225,98,165,284,113,154,209
ARG05_9d,ARG05_9,1,243,177,95,73,275,314,207,201,161,114,225,98,165,284,113,156,225
ARG05_9e,ARG05_9,1,243,177,84,73,275,312,205,199,161,114,223,98,165,284,113,156,209
ARG05_9e,ARG05_9,1,243,177,95,73,275,314,207,199,161,114,223,98,165,284,113,156,225
ARG05_9f,ARG05_9,1,243,177,84,73,275,312,205,199,161,114,223,98,165,284,113,154,209
ARG05_9f,ARG05_9,1,245,177,95,73,275,312,207,199,161,114,225,98,165,284,113,156,225
ARG05_9g,ARG05_9,1,243,177,84,73,275,312,205,199,161,114,223,98,165,284,113,154,209
ARG05_9g,ARG05_9,1,243,177,95,73,275,314,207,199,161,114,225,98,165,284,113,156,225
ARG05_9h,ARG05_9,1,243,177,84,73,275,314,207,199,161,114,223,98,165,284,113,154,209
ARG05_9h,ARG05_9,1,243,177,84,73,275,314,207,199,161,114,225,98,165,284,113,154,209
ARG05_9i,ARG05_9,1,243,177,84,73,275,314,205,199,161,114,223,98,165,284,113,154,209
ARG05_9i,ARG05_9,1,243,177,95,73,275,320,207,201,161,114,223,98,165,284,113,156,225
ARG05_9k,ARG05_9,1,243,177,84,73,275,314,207,199,161,114,223,98,165,284,113,156,209
ARG05_9k,ARG05_9,1,243,177,84,73,275,314,207,199,161,114,223,98,165,284,113,156,209
ARG05_9male,ARG05_9,1,NA,177,84,73,275,314,207,199,161,114,225,98,165,284,113,156,209
ARG05_9male,ARG05_9,1,NA,177,84,73,275,314,207,199,161,114,225,98,165,284,113,156,209
ARG05_10a,ARG05_10,1,243,177,84,73,275,314,207,199,161,114,223,98,165,284,113,154,209
ARG05_10a,ARG05_10,1,243,177,84,73,275,314,207,199,161,114,223,98,165,284,113,154,209
ARG05_10male,ARG05_10,1,NA,177,84,73,275,312,207,199,161,114,225,98,165,284,113,156,209
ARG05_10male,ARG05_10,1,NA,177,84,73,275,312,207,199,161,114,225,98,165,284,113,156,209
ARG05_11a,ARG05_11,1,243,177,95,73,275,320,202,199,161,114,226,98,167,284,113,154,209
ARG05_11a,ARG05_11,1,243,177,95,73,275,320,207,199,161,114,226,98,167,286,113,156,227
ARG05_11c,ARG05_11,1,241,177,95,73,275,314,207,199,161,114,226,98,165,286,113,154,227
ARG05_11c,ARG05_11,1,243,177,95,73,275,320,207,199,161,114,226,98,167,286,113,154,227
ARG05_11d,ARG05_11,1,243,177,95,73,275,320,205,199,161,114,226,98,165,284,113,154,227
ARG05_11d,ARG05_11,1,243,177,95,73,275,320,207,199,161,114,226,98,167,286,113,156,227
ARG05_11e,ARG05_11,1,243,177,95,73,275,320,207,199,161,114,223,98,165,284,113,154,227
ARG05_11e,ARG05_11,1,243,177,95,73,275,320,207,199,161,114,226,98,167,286,113,156,227
ARG05_11f,ARG05_11,1,241,177,95,73,275,314,207,199,161,114,226,98,165,286,113,154,227
ARG05_11f,ARG05_11,1,243,177,95,73,275,320,207,199,161,114,226,98,167,286,113,154,227
ARG05_11g,ARG05_11,1,241,177,95,73,275,314,205,199,161,114,223,98,165,284,113,154,209
ARG05_11g,ARG05_11,1,241,177,95,73,275,320,207,199,163,114,223,98,167,286,113,154,209
ARG05_11h,ARG05_11,1,241,177,95,73,275,314,205,199,161,114,223,98,165,284,113,154,209
ARG05_11h,ARG05_11,1,241,177,95,73,275,314,207,199,163,114,226,98,167,286,113,154,209
ARG05_11i,ARG05_11,1,243,177,95,73,275,320,207,199,161,114,223,98,167,284,113,156,227
ARG05_11i,ARG05_11,1,243,177,95,73,275,320,207,199,161,114,226,98,167,286,113,156,227
ARG05_11j,ARG05_11,1,241,177,95,73,275,314,207,199,161,114,223,98,165,284,113,154,209
ARG05_11j,ARG05_11,1,243,177,95,73,275,320,207,199,163,114,226,98,167,286,113,156,227
ARG05_11k,ARG05_11,1,243,177,95,73,275,320,205,199,161,114,226,98,165,284,113,156,209
ARG05_11k,ARG05_11,1,243,177,95,73,275,320,207,199,161,114,226,98,167,286,113,156,227
ARG05_11male,ARG05_11,1,NA,177,95,73,275,320,207,199,163,114,227,98,165,286,113,156,227
ARG05_11male,ARG05_11,1,NA,177,95,73,275,320,207,199,163,114,227,98,165,286,113,156,227
ARG05_12a,ARG05_12,1,243,177,84,73,275,318,209,199,159,116,212,98,161,278,113,154,219
ARG05_12a,ARG05_12,1,243,177,84,73,275,318,209,199,159,116,212,98,167,278,115,154,219
ARG05_12c,ARG05_12,1,243,177,84,73,275,318,209,199,159,116,212,98,161,278,115,154,219
ARG05_12c,ARG05_12,1,243,177,84,73,275,318,209,199,159,116,212,98,167,278,115,154,219
ARG05_12d,ARG05_12,1,243,177,84,73,275,318,209,199,159,116,212,98,161,278,115,154,219
ARG05_12d,ARG05_12,1,243,177,84,73,275,318,209,199,159,116,212,98,167,278,115,154,219
